
All primitive solutions with B <= 7200^2

        1 =    1^2,        25 =    5^2,        49 =    7^2  with difference        24
   519841 =  721^2,    714025 =  845^2,    908209 =  953^2  with difference    194184
   508369 =  713^2,    714025 =  845^2,    919681 =  959^2  with difference    205656
   388129 =  623^2,    727609 =  853^2,   1067089 = 1033^2  with difference    339480
   351649 =  593^2,    734449 =  857^2,   1117249 = 1057^2  with difference    382800
   279841 =  529^2,    748225 =  865^2,   1216609 = 1103^2  with difference    468384
    39601 =  199^2,    748225 =  865^2,   1456849 = 1207^2  with difference    708624
   208849 =  457^2,    769129 =  877^2,   1329409 = 1153^2  with difference    560280
   185761 =  431^2,    776161 =  881^2,   1366561 = 1169^2  with difference    590400
   703921 =  839^2,    811801 =  901^2,    919681 =  959^2  with difference    107880
   108241 =  329^2,    811801 =  901^2,   1515361 = 1231^2  with difference    703560
    97969 =  313^2,    819025 =  905^2,   1540081 = 1241^2  with difference    721056
     2209 =   47^2,    819025 =  905^2,   1635841 = 1279^2  with difference    816816
   776161 =  881^2,    855625 =  925^2,    935089 =  967^2  with difference     79464
    49729 =  223^2,    855625 =  925^2,   1661521 = 1289^2  with difference    805896
   625681 =  791^2,    863041 =  929^2,   1100401 = 1049^2  with difference    237360
   485809 =  697^2,    877969 =  937^2,   1270129 = 1127^2  with difference    392160
    25921 =  161^2,    885481 =  941^2,   1745041 = 1321^2  with difference    859560
   358801 =  599^2,    900601 =  949^2,   1442401 = 1201^2  with difference    541800
   185761 =  431^2,    900601 =  949^2,   1615441 = 1271^2  with difference    714840
    12769 =  113^2,    908209 =  953^2,   1803649 = 1343^2  with difference    895440
   693889 =  833^2,    931225 =  965^2,   1168561 = 1081^2  with difference    237336
   247009 =  497^2,    931225 =  965^2,   1615441 = 1271^2  with difference    684216
   485809 =  697^2,    954529 =  977^2,   1423249 = 1193^2  with difference    468720
   152881 =  391^2,    970225 =  985^2,   1787569 = 1337^2  with difference    817344
        1 =    1^2,    970225 =  985^2,   1940449 = 1393^2  with difference    970224
   305809 =  553^2,    994009 =  997^2,   1682209 = 1297^2  with difference    688200
    78961 =  281^2,   1018081 = 1009^2,   1957201 = 1399^2  with difference    939120
   935089 =  967^2,   1026169 = 1013^2,   1117249 = 1057^2  with difference     91080
    14161 =  119^2,   1042441 = 1021^2,   2070721 = 1439^2  with difference   1028280
   919681 =  959^2,   1050625 = 1025^2,   1181569 = 1087^2  with difference    130944
   160801 =  401^2,   1050625 = 1025^2,   1940449 = 1393^2  with difference    889824
   677329 =  823^2,   1067089 = 1033^2,   1456849 = 1207^2  with difference    389760
   452929 =  673^2,   1075369 = 1037^2,   1697809 = 1303^2  with difference    622440
    27889 =  167^2,   1075369 = 1037^2,   2122849 = 1457^2  with difference   1047480
   461041 =  679^2,   1100401 = 1049^2,   1739761 = 1319^2  with difference    639360
    58081 =  241^2,   1125721 = 1061^2,   2193361 = 1481^2  with difference   1067640
     2401 =   49^2,   1142761 = 1069^2,   2283121 = 1511^2  with difference   1140360
   277729 =  527^2,   1151329 = 1073^2,   2024929 = 1423^2  with difference    873600
   208849 =  457^2,   1151329 = 1073^2,   2093809 = 1447^2  with difference    942480
   908209 =  953^2,   1194649 = 1093^2,   1481089 = 1217^2  with difference    286440
   117649 =  343^2,   1203409 = 1097^2,   2289169 = 1513^2  with difference   1085760
  1117249 = 1057^2,   1221025 = 1105^2,   1324801 = 1151^2  with difference    103776
   654481 =  809^2,   1221025 = 1105^2,   1787569 = 1337^2  with difference    566544
   134689 =  367^2,   1221025 = 1105^2,   2307361 = 1519^2  with difference   1086336
     5329 =   73^2,   1221025 = 1105^2,   2436721 = 1561^2  with difference   1215696
   919681 =  959^2,   1229881 = 1109^2,   1540081 = 1241^2  with difference    310200
   734449 =  857^2,   1247689 = 1117^2,   1760929 = 1327^2  with difference    513240
   564001 =  751^2,   1274641 = 1129^2,   1985281 = 1409^2  with difference    710640
   410881 =  641^2,   1311025 = 1145^2,   2211169 = 1487^2  with difference    900144
    39601 =  199^2,   1311025 = 1145^2,   2582449 = 1607^2  with difference   1271424
   247009 =  497^2,   1329409 = 1153^2,   2411809 = 1553^2  with difference   1082400
  1181569 = 1087^2,   1338649 = 1157^2,   1495729 = 1223^2  with difference    157080
    10609 =  103^2,   1338649 = 1157^2,   2666689 = 1633^2  with difference   1328040
   889249 =  943^2,   1357225 = 1165^2,   1825201 = 1351^2  with difference    467976
   277729 =  527^2,   1357225 = 1165^2,   2436721 = 1561^2  with difference   1079496
